time_s,cmd_x,cmd_y,actual_x,actual_y
16.856183,784.874,0.000,780.743,4.131
16.907224,791.597,0.000,787.466,4.131
16.958484,798.319,0.000,794.188,4.131
17.009290,805.042,0.000,800.911,4.131
17.060263,811.765,0.000,807.634,4.131
17.111220,818.487,0.000,814.356,4.131
17.162444,825.210,0.000,821.079,4.131
17.213655,831.933,0.000,827.802,4.131
17.264995,838.655,0.000,834.524,4.131
17.315823,845.378,0.000,841.247,4.131
17.366948,852.101,0.000,847.970,4.131
17.417864,858.824,0.000,854.692,4.131
17.468832,865.546,0.000,861.415,4.131
17.519874,872.269,0.000,868.138,4.131
17.570844,878.992,0.000,874.860,4.131
17.622079,885.714,0.000,881.583,4.131
17.672995,892.437,0.000,888.306,4.131
17.724493,899.160,0.000,895.029,4.131
17.775640,905.882,0.000,901.751,4.131
17.827156,912.605,0.000,908.474,4.131
17.878277,919.328,0.000,915.197,4.131
17.929450,926.050,0.000,921.919,4.131
17.980691,932.773,0.000,928.642,4.131
18.031734,939.496,0.000,935.365,4.131
18.082947,946.218,0.000,942.087,4.131
18.133671,952.941,0.000,948.810,4.131
18.184708,959.664,0.000,955.533,4.131
18.235779,966.387,0.000,962.255,4.131
18.286929,973.109,0.000,968.978,4.131
18.337929,979.832,0.000,975.701,4.131
18.389341,986.555,0.000,982.423,4.131
18.440453,993.277,0.000,989.146,4.131
18.491773,1000.000,0.000,995.869,4.131
18.542702,1000.000,0.000,995.869,4.131
18.593916,993.277,0.000,992.590,4.131
18.644867,986.555,0.000,987.947,4.131
18.695790,979.832,0.000,982.448,4.131
18.746579,973.109,0.000,976.430,4.131
18.797660,966.387,0.000,970.104,4.131
18.848809,959.664,0.000,963.599,4.131
18.900352,952.941,0.000,956.983,4.131
18.951644,946.218,0.000,950.315,4.131
19.002787,939.496,0.000,943.619,4.131
19.054042,932.773,0.000,936.904,4.131
19.105141,926.050,0.000,930.182,4.131
19.156176,919.328,0.000,923.459,4.131
19.207506,912.605,0.000,916.736,4.131
19.258641,905.882,0.000,910.013,4.131
19.309923,899.160,0.000,903.291,4.131
19.361172,892.437,0.000,896.568,4.131
19.412084,885.714,0.000,889.845,4.131
19.462872,878.992,0.000,883.123,4.131
19.513826,872.269,0.000,876.400,4.131
19.565182,865.546,0.000,869.677,4.131
19.616198,858.824,0.000,862.955,4.131
19.667394,852.101,0.000,856.232,4.131
19.718653,845.378,0.000,849.509,4.131
19.770025,838.655,0.000,842.787,4.131
19.821395,831.933,0.000,836.064,4.131
19.872639,825.210,0.000,829.341,4.131
19.923901,818.487,0.000,822.619,4.131
19.974647,811.765,0.000,815.896,4.131
20.026021,805.042,0.000,809.173,4.131
20.077453,798.319,0.000,802.450,4.131
20.128833,791.597,0.000,795.728,4.131
20.179818,784.874,0.000,789.005,4.131
20.230781,778.151,0.000,782.282,4.131
20.281878,771.429,0.000,775.560,4.131
20.333626,764.706,0.000,768.837,4.131
20.385023,757.983,0.000,762.114,4.131
20.436440,751.261,0.000,755.392,4.131
20.488796,744.538,0.000,748.669,4.131
20.540121,737.815,0.000,741.946,4.131
20.591643,731.092,0.000,735.224,4.131
20.642981,724.370,0.000,728.501,4.131
20.693725,717.647,0.000,721.778,4.131
20.744545,710.924,0.000,715.056,4.131
20.796096,704.202,0.000,708.333,4.131
20.847096,697.479,0.000,701.610,4.131
20.898369,690.756,0.000,694.887,4.131
20.949655,684.034,0.000,688.165,4.131
21.000679,677.311,0.000,681.442,4.131
21.051656,670.588,0.000,674.719,4.131
21.102631,663.866,0.000,667.997,4.131
21.153546,657.143,0.000,661.274,4.131
21.204778,650.420,0.000,654.551,4.131
21.255913,643.697,0.000,647.829,4.131
21.307242,636.975,0.000,641.106,4.131
21.358588,630.252,0.000,634.383,4.131
21.409871,623.529,0.000,627.661,4.131
21.461592,616.807,0.000,620.938,4.131
21.512441,610.084,0.000,614.215,4.131
21.563396,603.361,0.000,607.492,4.131
